Sentence	Label
quali sono i trattamenti disponibili per l’ipertensione?	Generale
Vorrei vedere tutte le informazioni che ho dato in passato.	Richiesta
La frequenza è 140	inserDatiFreq
Qual è la media delle mie misurazioni degli ultimi dodici mesi?	Richiesta
Ho avuto mal di testa frequenti.	Generale
Bevo alcol solo occasionalmente	inserDatiGener
Media pressione scorsa settimana	Richiesta
Non ho paura della mia ipertensione.	Umore
Ciao, assistente! Spero che tu possa darmi qualche consiglio utile per la mia ipertensione oggi.	Generale
la mia frequenza cardiaca attuale è 68 battiti al minuto.	inserDatiFreq
ecco i dati registrati. Pressione 120/80 e frequenza 77	inserDatiTot
hai mai provato a dipingere?	Generale
come l’asma può influenzare la mia vita quotidiana?	Generale
I valori della mia pressione sono 120/80	inserDatiPress
come si misura la pressione?	Generale
come l’età può influenzare l’ipertensione?	Generale
Ho paura che la mia ipertensione possa peggiorare.	Umore
Il mio polso è di 120 battiti al minuto	inserDatiFreq
Mi si è rotta l'auto, cosa posso fare?	Generale
Vorrei vedere un riepilogo di tutte le informazioni che ho inserito in passato.	Richiesta
mi sento bene avendo tutti i miei dati sotto controllo	Umore
Ho appena misurato la mia frequenza cardiaca, è 75 battiti al minuto.	inserDatiFreq
ok la pressione è 134 76	inserDatiPress
Ho misurato i miei dati: sistolica 120, diastolica 80 e frequenza cardiaca 75	inserDatiTot
Vorrei dare un’occhiata alle ultime letture della frequenza cardiaca che ho inserito nell’ultimo mese.	Richiesta
Mi sento bene e infatti le misurazioni lo confermano	Umore
Ho avuto problemi di udito.	Generale
Sono un fruttariano	inserDatiGener
non sono sereno date le mie ultime misurazioni	Umore
Qual è la mia media di pressione sanguigna e frequenza cardiaca di quest’anno?	Richiesta
Potrei controllare le ultime misurazioni che ho registrato?	Richiesta
come il sale può influenzare la mia pressione sanguigna?	Generale
Ho una storia familiare di cancro	inserDatiGener
Potrei vedere l’ultima misurazione del ritmo cardiaco che ho registrato?	Richiesta
Fortunatamente mi sento stabile.	Umore
Ho notato che la mia frequenza è di 73 bpm.	inserDatiFreq
ciao, assistente! spero che tu possa darmi qualche suggerimento su come gestire la mia ipertensione.	Generale
Ho avuto un attacco di panico ieri sera.	inserDatiGener
la mia pressione oggi è 120/80.	inserDatiPress
La mia pressione sanguigna è 120/80.	inserDatiPress
no, non hai capito	Generale
Mi ricordi l'ultima misurazione fatta sulla frequenza	Richiesta
Media pressione ultime due settimane	Richiesta
Mi piace mangiare tanti dolci	Generale
mi daresti l'andamento di pressione nell'ultima settimana?	Richiesta
Ho appena fatto una lettura e la mia pressione sanguigna e frequenza cardiaca sono di 125/80 mmHg e 72 bpm.	inserDatiTot
La mia pressione oggi è 120/80 e la mia frequenza cardiaca è 75 bpm.	inserDatiTot
Ho un forte mal di testa, cosa posso fare?	Generale
Vorrei vedere le letture della pressione che ho registrato nell’ultima settimana.	Richiesta
A B	inserDatiPress
ho fatto nuove misurazioni, posso inviartele?	Generale
Dammi la lista dei miei dati	Richiesta
Qual è la mia media di frequenza cardiaca di oggi?	Richiesta
Qual è la mia media di pressione sanguigna di ieri?	Richiesta
La mia ultima misurazione mostra una frequenza cardiaca di 70 bpm.	inserDatiFreq
ho rimediato una frattura, come dovrei fare per guarire il prima possibile?	Generale
La mia frequenza cardiaca più recente è di 71 bpm.	inserDatiFreq
posso registrare la mia frequenza cardiaca di oggi?	Generale
